QUERY_ID	STEP_ID	OPERATOR_ID	PARENT_OPERATORS	OPERATOR_TYPE	OPERATOR_STATISTICS	EXECUTION_TIME_BREAKDOWN	OPERATOR_ATTRIBUTES
01c2bfd1-3202-6546-0013-df16000dc59a	1	21	"[
  20
]"	TableScan	"{
  ""io"": {
    ""bytes_scanned"": 2048,
    ""percentage_scanned_from_cache"": 1,
    ""scan_progress"": 1
  },
  ""output_rows"": 1,
  ""pruning"": {
    ""partitions_scanned"": 1,
    ""partitions_total"": 1
  }
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""columns"": [
    ""INT1"",
    ""STR1"",
    ""METADATA$ORIGINAL_PARTITION_NAME"",
    ""T_DELETE_METADATA_ONLY.METADATA$PARTITION_NAME"",
    ""METADATA$ORIGINAL_PARTITION_ROW_NUMBER"",
    ""T_DELETE_METADATA_ONLY.METADATA$PARTITION_ROW_NUMBER"",
    ""T_DELETE_METADATA_ONLY.METADATA$PRIMARY_PARTITION_NAME"",
    ""METADATA$ROW_VERSION""
  ],
  ""table_alias"": ""T_DELETE_METADATA_ONLY"",
  ""table_name"": ""DT.PUBLIC.T1""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	22	"[
  13
]"	UnionAll	"{
  ""input_rows"": 2,
  ""output_rows"": 2
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	{}
01c2bfd1-3202-6546-0013-df16000dc59a	1	23	"[
  22
]"	Filter	"{
  ""input_rows"": 1,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""filter_condition"": ""(T_INSERT.METADATA$PARTITION_NAME IS NOT NULL) AND (T_INSERT.METADATA$PARTITION_ROW_NUMBER IS NOT NULL)""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	24	"[
  23
]"	JoinFilter	"{
  ""input_rows"": 1,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""join_id"": ""13""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	25	"[
  24
]"	TableScan	"{
  ""io"": {
    ""bytes_scanned"": 2560,
    ""percentage_scanned_from_cache"": 1,
    ""scan_progress"": 1
  },
  ""output_rows"": 1,
  ""pruning"": {
    ""partitions_scanned"": 1,
    ""partitions_total"": 1
  }
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""columns"": [
    ""INT1"",
    ""STR1"",
    ""METADATA$ORIGINAL_PARTITION_NAME"",
    ""T_INSERT.METADATA$PARTITION_NAME"",
    ""METADATA$ORIGINAL_PARTITION_ROW_NUMBER"",
    ""T_INSERT.METADATA$PARTITION_ROW_NUMBER"",
    ""T_INSERT.METADATA$PRIMARY_PARTITION_NAME"",
    ""METADATA$ROW_VERSION""
  ],
  ""table_alias"": ""T_INSERT"",
  ""table_name"": ""DT.PUBLIC.T1""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	26	"[
  22
]"	Filter	"{
  ""input_rows"": 1,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""filter_condition"": ""(T_DELETE.METADATA$PARTITION_NAME IS NOT NULL) AND (T_DELETE.METADATA$PARTITION_ROW_NUMBER IS NOT NULL)""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	27	"[
  26
]"	JoinFilter	"{
  ""input_rows"": 1,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""join_id"": ""13""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	28	"[
  27
]"	TableScan	"{
  ""io"": {
    ""bytes_scanned"": 2048,
    ""percentage_scanned_from_cache"": 1,
    ""scan_progress"": 1
  },
  ""output_rows"": 1,
  ""pruning"": {
    ""partitions_scanned"": 1,
    ""partitions_total"": 1
  }
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""columns"": [
    ""INT1"",
    ""STR1"",
    ""METADATA$ORIGINAL_PARTITION_NAME"",
    ""T_DELETE.METADATA$PARTITION_NAME"",
    ""METADATA$ORIGINAL_PARTITION_ROW_NUMBER"",
    ""T_DELETE.METADATA$PARTITION_ROW_NUMBER"",
    ""T_DELETE.METADATA$PRIMARY_PARTITION_NAME"",
    ""METADATA$ROW_VERSION""
  ],
  ""table_alias"": ""T_DELETE"",
  ""table_name"": ""DT.PUBLIC.T1""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	29	"[
  2
]"	Filter	"{
  ""input_rows"": 1,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""filter_condition"": ""MV1_AGG.METADATA$MT_ROW_ID IS NOT NULL""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	30	"[
  29
]"	JoinFilter	"{
  ""input_rows"": 1,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""join_id"": ""2""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	31	"[
  30
]"	TableScan	"{
  ""io"": {
    ""bytes_scanned"": 2048,
    ""percentage_scanned_from_cache"": 0,
    ""scan_progress"": 1
  },
  ""output_rows"": 1,
  ""pruning"": {
    ""partitions_scanned"": 1,
    ""partitions_total"": 1
  }
}"	"{
  ""overall_percentage"": 3.333333333333333e-01,
  ""remote_disk_io"": 3.333333333333333e-01
}"	"{
  ""columns"": [
    ""STR1"",
    ""SUM_INT1"",
    ""METADATA$ORIGINAL_PARTITION_NAME"",
    ""METADATA$ORIGINAL_PARTITION_ROW_NUMBER"",
    ""METADATA$ROW_VERSION"",
    ""METADATA$MT_ROW_ID""
  ],
  ""table_alias"": ""MV1_AGG"",
  ""table_name"": ""DT.PUBLIC.MV1_AGG""
}"
01c2bfd1-3202-6546-0013-df16000dc59a	1	32		Projection	"{
  ""input_rows"": 1,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	{}
01c2bfd1-3202-6546-0013-df16000dc59a	1	33	"[
  32
]"	Filter	"{
  ""input_rows"": 2,
  ""output_rows"": 1
}"	"{
  ""overall_percentage"": 0.000000000000000e+00
}"	"{
  ""filter_condition"": ""(IFF((IFF(1 >= (ABS(SUM(METADATA$ACTION))), SUM(METADATA$ACTION), TO_NUMBER(RAISE_USER_ERROR('XX000', TO_NUMBER('091973', 18, 0), 'Internal Stream/CHANGES query error for ROW_ID: ''%1%''.', REGEXP_REPLACE(METADATA$ROW_ID, '~.{0,20}:([A-Za-z0-9+\\\\/=]{20,})', '~[OBFVAL]:\\\\1', 1, 0, 'c')), 18, 5))) > (0), 'INSERT', 'DELETE')) = 'INSERT'""
}"
